"Date","Open","High","Low","Close","Volume"
"08/13/2024","112.44","116.23","111.58","116.14","312,646,700"
"08/12/2024","106.32","111.07","106.26","109.02","325,559,900"
"08/09/2024","105.64","106.6","103.43","104.75","290,844,200"
"08/08/2024","102","105.5","97.52","104.97","391,910,000"
"08/07/2024","107.81","108.8","98.69","98.91","411,440,400"
"08/06/2024","103.84","107.71","100.55","104.25","409,012,100"
"08/05/2024","92.06","103.41","90.69","100.45","552,842,400"
"08/02/2024","103.76","108.72","101.37","107.27","482,027,500"
"08/01/2024","117.53","120.16","106.8104","109.21","523,462,300"
"07/31/2024","112.9","118.34","110.88","117.02","473,174,200"
"07/30/2024","111.52","111.99","102.54","103.73","486,833,300"
"07/29/2024","113.69","116.28","111.3","111.59","248,152,100"
"07/26/2024","116.19","116.2","111.58","113.06","293,399,100"
"07/25/2024","113.04","116.63","106.3","112.28","460,067,000"
"07/24/2024","119.17","119.95","113.44","114.25","327,776,900"
"07/23/2024","122.78","124.69","122.1","122.59","173,911,000"
"07/22/2024","120.35","124.07","119.86","123.54","258,068,900"
"07/19/2024","120.35","121.6","117.37","117.93","217,223,800"
"07/18/2024","121.85","122.4","116.56","121.09","320,979,500"
"07/17/2024","121.35","121.85","116.72","117.99","390,086,200"
"07/16/2024","128.44","129.04","124.58","126.36","214,769,500"
"07/15/2024","130.56","131.39","127.18","128.44","208,326,200"
"07/12/2024","128.26","131.92","127.22","129.24","252,680,500"
"07/11/2024","135.75","136.15","127.05","127.4","374,782,700"
"07/10/2024","134.03","135.1","132.42","134.91","248,978,600"
"07/09/2024","130.35","133.82","128.65","131.38","287,020,800"
"07/08/2024","127.49","130.77","127.04","128.2","237,677,300"
"07/05/2024","127.38","128.85","125.68","125.83","214,176,700"
"07/03/2024","121.66","128.28","121.36","128.28","215,749,000"
